File: text.txt
Parse Runtime: 0.0423 seconds
Analyze Runtime: 0.0060 seconds
Total Runtime: 0.0483 seconds

Word Count: 9163
Unique words: 1837
Number of words with a count of one: 1081

Combined total of the 10 most common words: 1466
This is 0.16% of all 9163 words
10 most common words:
you 275
the 259
a 258
to 191
of 134
this 121
we 84
out 60
they 46
like 38



(debug) all words:
you 275
the 259
a 258
i 239
to 191
it 167
of 134
this 121
is 115
and 108
what 99
that 98
bee 88
in 85
we 84
i'm 80
have 76
your 75
all 73
it's 71
on 70
do 68
no 65
don't 64
are 63
out 60
bees 57
just 54
not 54
know 53
me 52
my 52
for 51
be 51
barry 50
honey 49
with 46
they 46
right 44
was 44
that's 41
you're 40
here 40
like 38
get 37
but 36
so 36
our 35
got 34
how 32
up 32
we're 31
oh 31
can't 30
think 29
could 28
yeah 28
thinking 27
where 27
why 27
can 27
there 26
see 26
one 26
at 26
he 25
going 24
life 24
flowers 23
little 23
well 23
make 23
if 23
about 22
from 22
yes 21
go 21
us 20
talking 19
want 19
work 19
will 19
mr 19
there's 18
good 18
time 18
now 18
an 18
pollen 17
would 17
more 17
them 17
humans 16
sorry 16
roses 16
down 16
some 16
only 16
as 16
vanessa 15
benson 15
these 15
he's 15
did 15
job 15
say 15
fly 15
those 14
doing 14
were 14
way 14
ok 14
they're 13
flower 13
thing 13
never 13
wait 13
buzz 13
been 13
look 13
hey 13
him 13
please 12
really 12
gonna 12
sting 12
maybe 12
much 12
back 12
i've 12
very 12
than 12
come 12
hive 12
who 12
believe 11
check 11
human 11
isn't 11
gotta 11
into 11
i'll 11
sure 11
too 11
new 11
ken 11
something 10
yellow 10
around 10
what's 10
order 10
their 10
hello 10
talk 10
take 10
then 10
had 10
lot 10
because 9
nothing 9
thank 9
crazy 9
great 9
world 9
hold 9
free 9
stop 9
adam 9
move 9
dead 9
snap 9
two 9
his 9
day 9
wow 9
off 9
or 9
thought 8
coming 8
enough 8
heard 8
every 8
whole 8
black 8
let's 8
plane 8
ready 8
last 8
done 8
need 8
kill 8
help 8
has 8
she 8
anything 7
mosquito 7
happened 7
doesn't 7
getting 7
flying 7
couple 7
ladies 7
we'll 7
funny 7
three 7
first 7
close 7
pick 7
turn 7
hard 7
does 7
bear 7
mean 7
home 7
guys 7
call 7
huge 7
case 7
over 7
hear 7
try 7
put 7
eat 7
any 7
big 7
i'd 7
am 7
by 7
couldn't 6
krelman 6
trouble 6
feeling 6
flight 6
you've 6
making 6
listen 6
people 6
you'll 6
didn't 6
minute 6
nectar 6
should 6
night 6
start 6
she's 6
small 6
wings 6
jocks 6
guess 6
today 6
bring 6
giant 6
ever 6
part 6
made 6
long 6
name 6
next 6
week 6
let 6
sir 6
bit 6
tournament 5
everything 5
everybody 5
remember 5
someone 5
stinger 5
smoking 5
florist 5
special 5
species 5
another 5
haven't 5
anyway 5
things 5
number 5
wanted 5
pretty 5
chance 5
course 5
queen 5
court 5
still 5
leave 5
honor 5
farms 5
who's 5
smoke 5
same 5
live 5
team 5
feel 5
open 5
love 5
nice 5
when 5
rain 5
rest 5
once 5
drop 5
idea 5
nose 5
